@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
41,5,2,7,0,1,?
48,3,6,7,0,0,?
27,3,1,5,0,0,?
86,12,8,13,0,2,?
68,6,6,12,0,1,?
143,18,16,24,0,4,?
38,2,4,7,0,0,?
37,2,4,7,0,0,?
134,27,10,33,0,4,?
44,6,2,6,0,0,?
37,2,4,7,0,0,?
37,3,2,4,0,1,?
154,23,14,29,0,5,?
75,12,4,14,0,3,?
38,2,4,7,0,0,?
50,6,3,8,0,0,?
149,27,14,34,0,4,?
138,23,10,29,0,5,?
32,4,2,6,0,0,?
147,13,18,16,0,1,?
48,3,6,7,0,0,?
134,27,10,33,0,4,?
71,12,4,13,0,2,?
133,27,10,33,0,4,?
76,12,4,14,0,3,?
33,5,2,3,0,0,?
51,6,3,8,0,0,?
149,27,14,34,0,4,?
29,3,1,6,0,0,?
36,6,1,6,0,0,?
37,3,2,7,0,0,?
36,6,1,6,0,0,?
87,12,8,14,0,2,?
149,27,14,34,0,4,?
52,6,3,6,0,0,?
76,12,4,15,0,3,?
51,6,3,8,0,0,?
87,12,8,14,0,2,?
72,12,4,14,0,2,?
161,28,16,35,0,4,?
50,6,3,6,0,0,?
90,12,8,14,0,3,?
50,6,3,8,0,0,?
31,3,1,6,0,0,?
36,4,3,7,1,0,?
45,5,3,6,0,0,?
54,6,7,6,0,0,?
56,3,1,7,0,0,?
79,8,8,20,0,0,?
39,3,3,5,0,0,?
282,25,24,176,0,0,?
22,3,1,9,0,0,?
72,5,9,8,0,0,?
48,5,5,23,0,0,?
122,21,13,38,0,0,?
37,3,4,5,0,0,?
104,13,10,28,0,2,?
40,3,4,11,0,0,?
31,5,2,4,0,0,?
38,5,2,11,0,0,?
52,5,5,11,0,0,?
48,5,7,14,0,0,?
20,1,1,5,0,0,?
30,1,3,4,0,0,?
161,25,23,56,0,0,?
25,4,1,7,0,0,?
58,0,11,33,0,0,?
31,4,3,3,0,0,?
28,4,2,5,0,0,?
17,1,1,2,0,0,?
47,6,4,4,0,0,?
80,8,8,19,0,0,?
60,12,4,17,1,1,?
22,2,1,2,0,0,?
63,8,4,12,0,0,?
37,3,4,5,0,0,?
54,11,4,11,0,0,?
18,0,1,6,0,0,?
26,3,1,2,0,0,?
36,4,3,7,1,0,?
21,3,1,4,0,0,?
214,25,26,91,0,0,?
35,2,3,4,0,0,?
39,3,4,19,0,0,?
47,3,4,11,0,0,?
116,23,8,46,0,0,?
70,10,5,15,0,0,?
52,6,5,9,0,0,?
29,4,1,4,0,0,?
83,14,11,18,0,0,?
35,2,3,3,0,0,?
