@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
142,0,9,17,0,0,?
53,0,3,6,0,0,?
102,3,3,13,0,1,?
53,2,2,9,0,0,?
261,19,14,38,0,1,?
149,9,7,43,0,2,?
44,0,1,8,0,0,?
120,6,5,24,0,2,?
88,5,3,14,0,0,?
198,2,14,40,0,0,?
298,19,14,102,0,1,?
15,0,0,0,0,0,?
204,15,10,54,0,6,?
43,0,0,0,0,0,?
21,0,0,0,0,0,?
131,5,10,5,0,1,?
33,0,1,2,0,0,?
89,9,3,31,0,6,?
35,0,1,1,0,0,?
32,0,1,1,0,0,?
55,2,3,7,0,0,?
60,5,2,16,0,0,?
68,2,3,6,0,0,?
34,0,1,0,0,0,?
32,0,1,1,0,0,?
32,0,1,1,0,0,?
38,0,1,1,0,0,?
33,3,1,11,0,2,?
39,1,1,1,0,0,?
36,0,1,3,0,0,?
47,2,1,1,0,0,?
39,0,1,1,0,0,?
57,2,2,13,0,0,?
54,3,1,8,0,0,?
39,0,1,1,0,0,?
83,9,3,22,1,0,?
57,2,3,7,0,0,?
32,0,1,1,0,0,?
32,0,1,0,0,0,?
32,0,1,1,0,0,?
52,7,2,21,0,0,?
51,2,2,5,0,0,?
44,0,2,3,0,0,?
71,7,2,21,0,0,?
32,0,1,1,0,0,?
44,0,2,1,0,0,?
40,0,2,0,0,0,?
38,0,1,0,0,0,?
57,0,0,0,0,0,?
43,0,2,2,0,0,?
42,0,2,2,0,0,?
33,0,0,0,0,0,?
33,0,0,0,0,0,?
42,0,2,1,0,0,?
33,0,0,0,0,0,?
44,0,2,2,0,0,?
77,4,4,23,0,1,?
33,0,0,0,0,0,?
42,0,2,2,0,0,?
33,0,0,0,0,0,?
33,0,0,0,0,0,?
33,0,0,0,0,0,?
43,0,2,2,0,0,?
43,0,0,0,0,0,?
43,0,2,2,0,0,?
42,0,2,2,0,0,?
43,0,2,2,0,0,?
33,0,0,0,0,0,?
33,0,0,0,0,0,?
43,0,2,2,0,0,?
119,6,5,25,0,1,?
117,10,5,17,0,0,?
250,15,20,40,0,3,?
153,4,13,32,0,2,?
95,6,4,20,0,1,?
591,53,40,216,0,36,?
507,46,40,152,0,19,?
48,1,3,0,0,0,?
26,0,1,0,0,0,?
123,3,7,23,0,4,?
227,20,14,62,0,7,?
565,65,22,224,0,18,?
34,0,1,0,0,0,?
130,3,11,9,0,2,?
137,6,8,29,0,1,?
119,9,7,14,0,0,?
151,5,12,22,0,4,?
79,1,6,7,0,1,?
102,0,3,2,0,16,?
199,13,9,28,0,5,?
89,3,4,12,0,0,?
326,19,27,57,0,9,?
281,17,19,41,0,5,?
93,6,4,13,0,2,?
48,0,3,0,0,0,?
67,1,8,18,0,0,?
112,7,6,17,0,0,?
103,4,10,22,0,0,?
211,9,10,29,0,5,?
38,0,1,0,0,0,?
71,5,3,9,0,1,?
28,0,0,0,0,0,?
87,1,3,2,0,0,?
156,1,14,10,0,0,?
34,0,1,0,0,0,?
31,0,1,0,0,0,?
147,1,8,12,0,1,?
26,0,0,0,0,0,?
40,0,1,0,0,0,?
345,7,30,50,0,6,?
80,2,6,4,0,0,?
35,0,1,1,0,0,?
36,0,1,0,0,0,?
106,3,7,15,0,1,?
136,2,10,15,0,1,?
32,0,1,0,0,0,?
28,0,0,0,0,0,?
37,2,3,2,0,0,?
62,2,3,2,0,4,?
411,18,43,63,0,3,?
201,17,8,32,1,5,?
101,5,9,20,0,1,?
54,4,4,8,0,0,?
137,10,9,30,0,2,?
113,5,6,10,0,1,?
40,0,2,0,0,0,?
139,17,6,20,4,1,?
71,5,5,14,0,1,?
92,1,6,10,0,1,?
160,9,15,19,0,3,?
200,18,13,56,1,3,?
145,9,15,26,0,1,?
96,7,12,12,0,0,?
156,5,13,9,0,0,?
32,0,1,0,0,0,?
45,1,4,6,0,0,?
93,8,5,19,3,2,?
38,1,2,1,0,0,?
26,3,2,1,1,0,?
84,5,4,8,0,2,?
566,75,27,61,4,25,?
141,6,12,25,0,2,?
149,18,15,22,0,2,?
36,0,1,0,0,0,?
91,0,8,0,0,0,?
41,0,2,0,0,0,?
46,1,4,1,0,0,?
73,0,10,0,0,0,?
96,6,7,13,0,0,?
100,8,4,10,0,1,?
46,0,4,0,0,0,?
128,9,8,27,0,2,?
243,12,36,111,0,2,?
60,0,4,0,0,0,?
49,2,4,5,0,0,?
70,2,5,12,0,0,?
